sex,age,studytime,failures,freetime,absences,goout,first,second,third
F,18,2,0,3,6,4,5,6,6
F,17,2,0,3,4,3,5,5,6
F,15,2,3,3,10,2,7,8,10
F,15,3,0,2,2,2,15,14,15
F,16,2,0,3,4,2,6,10,10
M,16,2,0,4,10,2,15,15,15
M,16,2,0,4,0,4,12,12,11
F,17,2,0,1,6,4,6,5,6
M,15,2,0,2,0,2,16,18,19
M,15,2,0,5,0,1,14,15,15
F,15,2,0,3,0,3,10,8,9
F,15,3,0,2,4,2,10,12,12
M,15,1,0,3,2,3,14,14,14
M,15,2,0,4,2,3,10,10,11
M,15,3,0,5,0,2,14,16,16
F,16,1,0,4,4,4,14,14,14
F,16,3,0,2,6,3,13,14,14
F,16,2,0,3,4,2,8,10,10
M,17,1,3,5,16,5,6,5,5
M,16,1,0,1,4,3,8,10,10
M,15,2,0,4,0,1,13,14,15
M,15,1,0,4,0,2,12,15,15
M,16,2,0,5,2,1,15,15,16
M,16,2,0,4,0,4,13,13,12
F,15,3,0,3,2,2,10,9,8
F,16,1,2,2,14,2,6,9,8
M,15,1,0,2,2,2,12,12,11
M,15,1,0,2,4,4,15,16,15
M,16,2,0,3,4,3,11,11,11
M,16,2,0,4,16,5,10,12,11
M,15,2,0,4,0,2,9,11,12
M,15,2,0,3,0,1,17,16,17
M,15,2,0,5,0,2,17,16,16
M,15,2,0,3,0,2,8,10,12
M,16,1,0,4,0,3,12,14,15
F,15,1,0,5,0,1,8,7,6
M,15,3,0,4,2,3,15,16,18
M,16,3,0,4,7,3,15,16,15
F,15,3,0,3,2,2,12,12,11
F,15,1,0,3,8,1,14,13,13
F,16,2,1,3,25,3,7,10,11
M,15,1,0,4,8,3,12,12,12
M,15,2,0,3,2,3,19,18,18
M,15,1,0,4,0,1,8,8,11
F,16,2,1,3,14,3,10,10,9
F,15,2,0,2,8,2,8,8,6
F,16,2,0,3,12,5,11,12,11
M,16,4,0,2,4,2,19,19,20
M,15,2,0,3,2,3,15,15,14
F,15,2,1,4,2,4,7,7,7
F,16,2,0,3,2,3,12,13,13
F,15,2,0,3,2,3,11,13,13
M,15,1,1,5,6,5,11,11,10
F,15,1,0,3,0,4,8,10,11
F,15,1,0,3,6,4,10,13,13
F,16,2,0,3,8,4,8,9,10
F,15,2,0,3,0,2,14,15,15
M,15,2,0,2,4,2,14,15,15
M,15,2,0,3,2,2,9,10,9
F,16,2,0,2,2,3,15,16,16
F,16,2,0,4,6,4,10,11,11
F,16,1,0,5,6,5,10,8,11
F,16,2,0,4,4,3,8,10,9
F,16,3,0,4,2,4,10,9,9
F,15,2,0,4,0,4,10,10,10
F,16,2,0,4,2,3,16,15,15
M,15,4,0,3,4,3,13,13,12
F,16,4,0,3,4,3,7,7,6
F,15,2,0,1,2,3,8,9,8
F,15,4,0,4,12,2,16,16,16
M,16,4,0,3,0,2,13,15,15
M,15,4,0,3,0,3,10,10,10
F,15,2,2,3,2,4,8,6,5
M,16,1,0,3,2,2,12,12,14
F,16,2,0,3,54,3,11,12,11
M,15,2,0,3,6,3,9,9,10
M,15,4,0,4,8,3,11,11,10
F,16,4,0,2,0,3,11,11,11
M,17,1,3,5,2,1,8,8,10
F,16,2,0,4,12,3,5,5,5
M,15,1,0,2,2,2,10,12,12
M,15,3,0,3,4,2,11,10,11
F,15,2,0,4,10,4,7,6,6
M,15,2,0,3,4,3,15,15,15
F,15,2,0,3,2,2,9,10,10
F,15,2,2,4,6,4,7,9,8
F,16,2,0,3,4,4,8,7,6
F,15,3,0,3,4,3,13,14,14
M,16,2,1,4,12,2,11,10,10
M,16,2,0,1,18,3,8,6,7
F,16,3,0,3,0,3,7,7,8
F,15,1,0,5,4,5,16,17,18
F,16,2,0,3,4,3,7,6,6
F,16,2,0,3,0,3,11,10,10
M,15,4,0,3,6,4,11,13,14
F,15,4,1,1,2,2,7,10,10
M,16,1,0,3,2,3,11,15,15
F,16,2,0,3,2,5,8,9,10
F,16,1,0,3,6,4,11,14,14
F,16,3,0,3,0,5,7,9,8
M,16,1,0,5,14,5,7,7,5
M,16,3,0,4,0,3,16,17,17
M,15,1,0,3,4,3,10,13,14
F,15,2,0,3,26,5,7,6,6
M,15,2,0,4,0,4,16,18,18
F,15,4,0,3,10,3,10,11,11
F,15,4,0,1,8,2,7,8,8
M,16,3,0,3,2,3,16,18,18
M,15,4,0,3,6,5,10,13,13
F,16,3,0,4,4,5,14,15,16
M,15,1,0,5,6,3,18,19,19
F,16,3,1,1,0,2,7,10,10
F,16,2,1,1,6,2,10,13,13
M,15,1,0,5,10,2,18,19,19
M,15,2,0,4,8,2,9,9,9
M,16,2,0,4,2,4,15,15,16
M,15,2,0,4,2,3,11,13,14
M,16,1,0,4,0,2,13,14,13
M,17,2,1,2,20,4,9,7,8
M,15,1,0,4,6,3,14,13,13
F,15,2,0,2,2,3,16,15,15
M,15,4,0,5,6,4,16,14,15
F,16,2,0,2,2,2,13,13,13
M,16,1,0,4,18,4,14,11,13
F,16,2,0,4,0,4,8,7,8
M,15,1,0,5,0,5,13,13,12
F,15,2,0,3,0,2,7,10,11
F,19,2,3,4,2,2,7,8,9
M,18,1,2,3,0,3,7,4,0
M,16,1,0,5,8,5,18,18,18
F,15,3,2,2,0,2,12,0,0
